[2025-02-23 17:18:20 | 0x46F7...D4D7] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:20 | 0x9265...A554] 🔹 Processing wallet: 0x9265...A554
[2025-02-23 17:18:20 | 0x9265...A554] 🔹 Requesting challenge...
[2025-02-23 17:18:25 | 0x9265...A554] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:25 | 0x9265...A554] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:25 | 0xdBd5...1cb4] 🔹 Processing wallet: 0xdBd5...1cb4
[2025-02-23 17:18:25 | 0xdBd5...1cb4] 🔹 Requesting challenge...
[2025-02-23 17:18:30 | 0xdBd5...1cb4] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:30 | 0xdBd5...1cb4] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:30 | 0x4a64...af28] 🔹 Processing wallet: 0x4a64...af28
[2025-02-23 17:18:30 | 0x4a64...af28] 🔹 Requesting challenge...
[2025-02-23 17:18:35 | 0x4a64...af28] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:35 | 0x4a64...af28] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:35 | 0x844b...440d] 🔹 Processing wallet: 0x844b...440d
[2025-02-23 17:18:35 | 0x844b...440d] 🔹 Requesting challenge...
[2025-02-23 17:18:40 | 0x844b...440d] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:40 | 0x844b...440d] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:40 | 0x18DD...7F1F] 🔹 Processing wallet: 0x18DD...7F1F
[2025-02-23 17:18:40 | 0x18DD...7F1F] 🔹 Requesting challenge...
[2025-02-23 17:18:45 | 0x18DD...7F1F] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:45 | 0x18DD...7F1F] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:45 | 0x7294...1131] 🔹 Processing wallet: 0x7294...1131
[2025-02-23 17:18:45 | 0x7294...1131] 🔹 Requesting challenge...
[2025-02-23 17:18:50 | 0x7294...1131] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:50 | 0x7294...1131] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:50 | 0xe3d5...db6f] 🔹 Processing wallet: 0xe3d5...db6f
[2025-02-23 17:18:50 | 0xe3d5...db6f] 🔹 Requesting challenge...
